experiment_key,lot_number,family,stage,mae,rmse,mean_error
2024-07-11_10,4,pls,mean_shift,0.11466466249233001,0.13675228686898896,-0.020713934995150396
2024-07-11_10,4,pls,full_map,0.09262430473837317,0.11212414874780638,-0.020713934995150396
2024-07-19_01,5,ridge,template,0.5935721838087007,0.6313771487480585,-0.5935721838087034
2024-07-19_01,5,ridge,mean_shift,0.35899695263787107,0.41855463033285845,-0.3589969526378809
2024-07-19_01,5,ridge,full_map,0.3589969526378692,0.3819274540291836,-0.3589969526378667
2024-07-19_02,5,ridge,template,0.056995635263612454,0.07401834746778607,0.00267613079804363
2024-07-19_02,5,ridge,mean_shift,0.0634895758511439,0.09363619591225437,-0.05741239499537443
2024-07-19_02,5,ridge,full_map,0.06261339536777376,0.07856064203367938,-0.057412394995360216
2024-07-19_03,5,ridge,template,0.13478454335926224,0.14219013365265548,-0.1347845433592667
2024-07-19_03,5,ridge,mean_shift,0.0715839771100113,0.08286366537720277,0.06939182992361737
2024-07-19_03,5,ridge,full_map,0.07328834226297272,0.0977725186689218,0.06939182992363158
2024-07-19_04,5,ridge,template,0.3683266925957934,0.38904207249543377,0.36832669259579376
2024-07-19_04,5,ridge,mean_shift,0.2246971280440203,0.25725081349573437,0.22469712804402064
2024-07-19_04,5,ridge,full_map,0.22697108546769257,0.24842265379139378,0.22469712804402064
2024-07-19_05,5,ridge,template,0.22134017574186107,0.25398543542055524,0.22134017574185805
2024-07-19_05,5,ridge,mean_shift,0.10895250483502411,0.16145396621029925,0.10271443519147283
2024-07-19_05,5,ridge,full_map,0.10603372309404831,0.14817659448733123,0.10271443519147994
2024-07-19_06,5,ridge,template,0.3505177038317488,0.37877069248767115,0.3505177038317555
2024-07-19_06,5,ridge,mean_shift,0.18965533727930545,0.23785231499112106,0.18965533727931216
2024-07-19_06,5,ridge,full_map,0.19017073734069045,0.22321072536184625,0.18965533727931216
2024-07-19_07,5,ridge,template,0.4522648948429846,0.47810439361053036,0.4522648948429904
2024-07-19_07,5,ridge,mean_shift,0.13200901638635965,0.15708819334387075,-0.025227453412583145
2024-07-19_07,5,ridge,full_map,0.07816402773957025,0.09437721078536526,-0.025227453412583145
2024-07-19_08,5,ridge,template,0.5097008498991642,0.5343036647930653,0.5097008498991684
2024-07-19_08,5,ridge,mean_shift,0.12294177815627418,0.17055756942461742,0.058347533492543846
2024-07-19_08,5,ridge,full_map,0.09547381713901591,0.13480826441152505,0.05834753349253674
2024-07-19_09,5,ridge,template,0.4462109622587152,0.48752742464784327,0.4462109622587178
2024-07-19_09,5,ridge,mean_shift,0.15809411531394402,0.22958829552796936,0.11887816662250827
2024-07-19_09,5,ridge,full_map,0.13877004159632395,0.1972219232244499,0.11887816662251538
2024-07-19_10,5,ridge,template,0.65310197349467,0.6816913299708072,0.653101973494671
2024-07-19_10,5,ridge,mean_shift,0.16025899734098611,0.19542092830673807,-0.005334570791724502
2024-07-19_10,5,ridge,full_map,0.09232353310694567,0.12063033476381417,-0.005334570791724502
2024-07-19_01,5,pls,template,0.5935721838087007,0.6313771487480585,-0.5935721838087034
2024-07-19_01,5,pls,mean_shift,0.2373449782820094,0.32033327259240346,-0.2372851427290925
2024-07-19_01,5,pls,full_map,0.24613701891007175,0.26708631772752206,-0.2372851427290854
2024-07-19_02,5,pls,template,0.056995635263612454,0.07401834746778607,0.00267613079804363
2024-07-19_02,5,pls,mean_shift,0.13573160924038719,0.1467743952710991,0.12677211452595571
2024-07-19_02,5,pls,full_map,0.12883629739446553,0.13363429938358487,0.12677211452596282
2024-07-19_03,5,pls,template,0.13478454335926224,0.14219013365265548,-0.1347845433592667
2024-07-19_03,5,pls,mean_shift,0.07868819191447576,0.08903829769758823,0.0766593600109502
2024-07-19_03,5,pls,full_map,0.07703397091601995,0.10646238397620417,0.0766593600109502
2024-07-19_04,5,pls,template,0.3683266925957934,0.38904207249543377,0.36832669259579376
2024-07-19_04,5,pls,mean_shift,0.15328714646762587,0.19795487103169154,0.1532871464676262
2024-07-19_04,5,pls,full_map,0.156924901815152,0.17962581641475597,0.1532871464676262
2024-07-19_05,5,pls,template,0.22134017574186107,0.25398543542055524,0.22134017574185805
2024-07-19_05,5,pls,mean_shift,0.13776212203944593,0.1856426935937364,0.13764476625141242
2024-07-19_05,5,pls,full_map,0.13981758944798006,0.17446074982120968,0.13764476625141242
2024-07-19_06,5,pls,template,0.3505177038317488,0.37877069248767115,0.3505177038317555
2024-07-19_06,5,pls,mean_shift,0.224702607573612,0.26663802924280894,0.2247026075736187
2024-07-19_06,5,pls,full_map,0.22501263869455468,0.25271853835023494,0.2247026075736187
2024-07-19_07,5,pls,template,0.4522648948429846,0.47810439361053036,0.4522648948429904
2024-07-19_07,5,pls,mean_shift,0.12891199035630013,0.15581036543568957,-0.015381608981059003
2024-07-19_07,5,pls,full_map,0.06912044282731764,0.09680298358588142,-0.015381608981051897
2024-07-19_08,5,pls,template,0.5097008498991642,0.5343036647930653,0.5097008498991684
2024-07-19_08,5,pls,mean_shift,0.14920724558378842,0.214174669747092,0.1420751186447049
2024-07-19_08,5,pls,full_map,0.14437050048639977,0.19076210923409986,0.1420751186447049
2024-07-19_09,5,pls,template,0.4462109622587152,0.48752742464784327,0.4462109622587178
2024-07-19_09,5,pls,mean_shift,0.18788182789991967,0.266857353502996,0.18064905251540608
2024-07-19_09,5,pls,full_map,0.1846149383873207,0.22751559256681636,0.18064905251540608
