experiment_key,test_lot,calibration_lot,nominal_coverage,X,Y,observed,predicted,absolute_error,point_half_width,point_covered,simultaneous_half_width,simultaneous_map_covered
2024-07-11_02,4,3,0.8,19000.0,95000.0,49.2451,48.1352054553653,1.1098945446346988,0.6567212899435901,False,2.634390738119265,True
2024-07-11_03,4,3,0.8,-19000.0,-95000.0,52.5454,53.4649363776933,0.9195363776932979,0.5761349979750392,False,2.634390738119265,True
2024-07-11_03,4,3,0.8,0.0,-95000.0,52.4163,53.07893815741621,0.662638157416211,0.6567958238786531,False,2.634390738119265,True
2024-07-11_03,4,3,0.8,19000.0,-95000.0,52.6745,53.76974420144684,1.0952442014468389,0.5945717640215733,False,2.634390738119265,True
2024-07-11_03,4,3,0.8,-57000.0,-76000.0,52.3069,53.086194821217205,0.7792948212172064,0.6338533873422065,False,2.634390738119265,True
2024-07-11_03,4,3,0.8,-38000.0,-76000.0,46.7132,47.010727400578375,0.29752740057837457,0.6006884455517181,True,2.634390738119265,True
2024-07-11_03,4,3,0.8,-19000.0,-76000.0,44.9661,45.16416831566891,0.19806831566891248,0.5608400144521042,True,2.634390738119265,True
2024-07-11_03,4,3,0.8,0.0,-76000.0,44.552,44.777123541939304,0.22512354193930406,0.5338710529265498,True,2.634390738119265,True
2024-07-11_03,4,3,0.8,19000.0,-76000.0,44.9231,45.18428866082533,0.2611886608253329,0.5264006018505185,True,2.634390738119265,True
2024-07-11_03,4,3,0.8,38000.0,-76000.0,46.5821,46.94356495979841,0.3614649597984112,0.5295790432721077,True,2.634390738119265,True
2024-07-11_03,4,3,0.8,57000.0,-76000.0,52.0694,52.730749608074646,0.6613496080746444,0.6160549044915058,False,2.634390738119265,True
2024-07-11_03,4,3,0.8,-76000.0,-57000.0,51.9906,52.742920137566735,0.7523201375667341,0.6404300908560501,False,2.634390738119265,True
2024-07-11_03,4,3,0.8,-57000.0,-57000.0,45.0706,45.27311784186576,0.20251784186576316,0.5126249890006065,True,2.634390738119265,True
2024-07-11_03,4,3,0.8,-38000.0,-57000.0,43.3336,43.41993782152245,0.08633782152245573,0.38197918994210767,True,2.634390738119265,True
2024-07-11_03,4,3,0.8,-19000.0,-57000.0,42.938,43.05238102923315,0.11438102923315085,0.46754170286146746,True,2.634390738119265,True
