experiment_key,lot_number,family,stage,mae,rmse,mean_shift_absolute_error,residual_profile_mae,residual_profile_rmse
2024-07-19_02,5,gpr,template,0.06558046672428643,0.09016291469180654,0.005049150100835188,0.06401484078350538,0.09002142672153791
2024-07-19_02,5,gpr,mean_shift,0.2643395974430274,0.27439142285150797,0.2592041582719957,0.06401484078350538,0.09002142672153791
2024-07-19_02,5,gpr,full_map,0.2807363995525322,0.29451139689858724,0.25920415827199,0.05522506800347012,0.13982191258049065
2024-07-19_03,5,gpr,template,0.13242362431575924,0.14127272735179489,0.13241152405646797,0.034085121989907485,0.04924603324591717
2024-07-19_03,5,gpr,mean_shift,0.172423272556826,0.17719377540212533,0.17021299084030236,0.03408512198990629,0.04924603324591717
2024-07-19_03,5,gpr,full_map,0.17204479611762527,0.20577019957315648,0.17021299084029687,0.08749090513972638,0.11562401472694876
2024-07-19_04,5,gpr,template,0.3706997118985877,0.38859898723089475,0.3706997118985877,0.0947807826647123,0.11658000032244457
2024-07-19_04,5,gpr,mean_shift,0.10497906718804305,0.155175954710001,0.10241425899248165,0.09478078266471014,0.11658000032244457
2024-07-19_04,5,gpr,full_map,0.13922344277477566,0.22503562322443016,0.1024142589924775,0.07701179275821529,0.2003805162061158
2024-07-19_05,5,gpr,template,0.22371953327571312,0.25421046349624776,0.22371319504465537,0.09650209666611671,0.12072848095577568
2024-07-19_05,5,gpr,mean_shift,0.24497960455041867,0.2731123811905432,0.24497960455041867,0.09650209666611671,0.12072848095577568
2024-07-19_05,5,gpr,full_map,0.24497960455041348,0.26668665785783346,0.24497960455041348,0.08296354685756696,0.10538864660723257
2024-07-19_06,5,gpr,template,0.35289072313454306,0.38015920390759445,0.35289072313454306,0.1127618560205131,0.14138301822084312
2024-07-19_06,5,gpr,mean_shift,0.17529172243806837,0.22520289917436687,0.17529172243806837,0.11276185602051142,0.1413830182208431
2024-07-19_06,5,gpr,full_map,0.1752917224380639,0.18598981674808987,0.1752917224380639,0.04473718649051761,0.062169317019610426
2024-07-19_07,5,gpr,template,0.4546379141457789,0.47943811739804987,0.4546379141457789,0.12347317193180278,0.15220143046424262
2024-07-19_07,5,gpr,mean_shift,0.12214505808278471,0.15240528887146354,0.007880142170834634,0.12347317193180278,0.15220143046424262
