experiment_key,lot_number,family,stage,mae,rmse,mean_error,mean_predicted_std
2024-07-05_02,2,ridge,full_map,0.10397891805367744,0.15971522257352183,0.039152567109304925,
2024-07-05_03,2,ridge,template,0.33805776433304563,0.34091727508115377,-0.338057764333044,
2024-07-05_03,2,ridge,mean_shift,0.10660786504267956,0.11257818853240421,0.10359687307218479,
2024-07-05_03,2,ridge,full_map,0.10581415344791135,0.1361316745618971,0.10359687307218479,
2024-07-05_04,2,ridge,template,0.17793549409392084,0.19950522748154673,0.17793549409392284,
2024-07-05_04,2,ridge,mean_shift,0.13369378911356988,0.16129266871609405,0.13369378911357188,
2024-07-05_04,2,ridge,full_map,0.1430931948336126,0.16512477027887604,0.13369378911356478,
2024-07-05_05,2,ridge,template,0.07485298184961113,0.11141938338220372,0.056873696341114055,
2024-07-05_05,2,ridge,mean_shift,0.1674794132556249,0.1929482197954101,0.1674794132556272,
2024-07-05_05,2,ridge,full_map,0.16747941325561883,0.19435748730164623,0.1674794132556201,
2024-07-05_06,2,ridge,template,0.1843141457793142,0.22158735312189487,0.18431414577931804,
2024-07-05_06,2,ridge,mean_shift,0.09218641394045199,0.14268861943052893,0.07232421023268643,
2024-07-05_06,2,ridge,full_map,0.07419304956303004,0.11350038334599391,0.07232421023267221,
2024-07-05_07,2,ridge,template,0.3005411120714491,0.32464758908768193,0.30054111207144985,
2024-07-05_07,2,ridge,mean_shift,0.2218775829858039,0.253575943036644,0.22187758298580462,
2024-07-05_07,2,ridge,full_map,0.22187758298579824,0.24621146558918372,0.22187758298579752,
2024-07-05_08,2,ridge,template,0.6336208873523479,0.6483112893609753,0.6336208873523503,
2024-07-05_08,2,ridge,mean_shift,0.10633627691930538,0.15138450653030952,0.06391533300947572,
2024-07-05_08,2,ridge,full_map,0.07950818679314202,0.11394546685860422,0.0639153330094615,
2024-07-05_09,2,ridge,template,0.40870178622875203,0.42761520282157567,0.40870178622876097,
2024-07-05_09,2,ridge,mean_shift,0.18986020224065359,0.20817023042283528,-0.1658831914834309,
2024-07-05_09,2,ridge,full_map,0.17572911311000192,0.18819655855846204,-0.1658831914834451,
2024-07-05_10,2,ridge,template,0.4903276289253811,0.5117775051507701,0.4903276289253924,
2024-07-05_10,2,ridge,mean_shift,0.187497322936433,0.23801318702771357,0.18749732293643717,
2024-07-05_10,2,ridge,full_map,0.18749732293642704,0.21400031049096416,0.18749732293643717,
2024-07-05_01,2,pls,template,0.5909476519734955,0.6533933032096673,-0.5909476519734937,
2024-07-05_01,2,pls,mean_shift,0.2103795889802311,0.3433568738053365,-0.20047508943287795,
2024-07-05_01,2,pls,full_map,0.22157967943561357,0.27234594085515546,-0.20047508943288506,
2024-07-05_02,2,pls,template,0.5882352924229329,0.6044792726105188,-0.5882352924229295,
2024-07-05_02,2,pls,mean_shift,0.11267285197418447,0.16248199925787818,-0.08382104937895463,
2024-07-05_02,2,pls,full_map,0.10232660777983531,0.13554578749505028,-0.08382104937895463,
2024-07-05_03,2,pls,template,0.33805776433304563,0.34091727508115377,-0.338057764333044,
2024-07-05_03,2,pls,mean_shift,0.10025623738232183,0.10619114695757491,0.09661792416142845,
2024-07-05_03,2,pls,full_map,0.0986289105646475,0.1454584499973038,0.09661792416142134,
2024-07-05_04,2,pls,template,0.17793549409392084,0.19950522748154673,0.17793549409392284,
2024-07-05_04,2,pls,mean_shift,0.06758219541968626,0.09362184054888129,0.0249750534282569,
2024-07-05_04,2,pls,full_map,0.060871728084151436,0.08524378311537777,0.024975053428249794,
2024-07-05_05,2,pls,template,0.07485298184961113,0.11141938338220372,0.056873696341114055,
2024-07-05_05,2,pls,mean_shift,0.07736132884300904,0.11512912387597479,0.06383614576930796,
2024-07-05_05,2,pls,full_map,0.08052734097372147,0.12042924511771617,0.06383614576930796,
2024-07-05_06,2,pls,template,0.1843141457793142,0.22158735312189487,0.18431414577931804,
2024-07-05_06,2,pls,mean_shift,0.11210234742617219,0.1288854908704929,-0.0384995977604774,
2024-07-05_06,2,pls,full_map,0.08906624594525912,0.10334192295231001,-0.038499597760484505,
2024-07-05_07,2,pls,template,0.3005411120714491,0.32464758908768193,0.30054111207144985,
2024-07-05_07,2,pls,mean_shift,0.13755184661242592,0.18245650791285808,0.13497881398372868,
2024-07-05_07,2,pls,full_map,0.13805263442109134,0.1760617105329605,0.13497881398372158,
2024-07-05_08,2,pls,template,0.6336208873523479,0.6483112893609753,0.6336208873523503,
2024-07-05_08,2,pls,mean_shift,0.12184130758528974,0.14042512473600677,-0.029784503242616722,
2024-07-05_08,2,pls,full_map,0.05980098388817152,0.08929707074647146,-0.029784503242630933,
2024-07-05_09,2,pls,template,0.40870178622875203,0.42761520282157567,0.40870178622876097,
2024-07-05_09,2,pls,mean_shift,0.11691470242571975,0.13484153477620364,-0.048627439612182854,
2024-07-05_09,2,pls,full_map,0.09157884415549274,0.1076435056608978,-0.04862743961218996,
2024-07-05_10,2,pls,template,0.4903276289253811,0.5117775051507701,0.4903276289253924,
2024-07-05_10,2,pls,mean_shift,0.12125575218715919,0.17468047291731406,0.09496439610642682,
2024-07-05_10,2,pls,full_map,0.10583710041506993,0.14475924625157766,0.09496439610641261,
2024-07-05_01,2,gpr,template,0.5909476519734955,0.6533933032096673,-0.5909476519734937,
2024-07-05_01,2,gpr,mean_shift,0.1971763350712264,0.32644120279139993,-0.1698828348410828,0.17777061463318147
2024-07-05_01,2,gpr,full_map,0.17623794780215088,0.2737170093812512,-0.1698828348410899,0.23473749800401467
2024-07-05_02,2,gpr,template,0.5882352924229329,0.6044792726105188,-0.5882352924229295,
2024-07-05_02,2,gpr,mean_shift,0.10759722397921638,0.14478742516771295,-0.03986184545210136,0.13518938404144376
2024-07-05_02,2,gpr,full_map,0.08201931039968179,0.13027312548028505,-0.03986184545210136,0.19120161308451744
2024-07-05_03,2,gpr,template,0.33805776433304563,0.34091727508115377,-0.338057764333044,
