stage,X,Y,coordinate_mae
template,19000.0,76000.0,0.35679810185954836
template,19000.0,95000.0,0.5243418481975979
template,38000.0,-76000.0,0.3175077248173762
template,38000.0,-57000.0,0.2823384077947377
template,38000.0,-38000.0,0.2686421822375932
template,38000.0,-19000.0,0.2613930437705756
template,38000.0,0.0,0.26093794765361217
template,38000.0,19000.0,0.2687019060053873
template,38000.0,38000.0,0.28474495019748275
template,38000.0,57000.0,0.31492440596092197
template,38000.0,76000.0,0.3800752018332598
template,57000.0,-76000.0,0.3886444706664643
template,57000.0,-57000.0,0.3056805305980935
template,57000.0,-38000.0,0.2834030856274514
template,57000.0,-19000.0,0.2737035901283539
template,57000.0,0.0,0.27460658039218244
template,57000.0,19000.0,0.2825898624299433
template,57000.0,38000.0,0.304703945822623
template,57000.0,57000.0,0.348349345287829
template,57000.0,76000.0,0.491419427789716
template,76000.0,-57000.0,0.4025010904989827
template,76000.0,-38000.0,0.32220887872161846
template,76000.0,-19000.0,0.30682081125625316
template,76000.0,0.0,0.30708272821523513
template,76000.0,19000.0,0.3191863652646105
template,76000.0,38000.0,0.3491980534606391
template,76000.0,57000.0,0.46565469463257775
template,95000.0,-19000.0,0.6362471540795827
template,95000.0,0.0,0.4299842996138878
template,95000.0,19000.0,0.5405370026597874
