experiment_key,lot_number,stage,full_map_mae,full_map_rmse,mean_shift_absolute_error,mean_centered_residual_mae,mean_centered_residual_rmse,spatial_correlation_after_mean_removal,center_mean_error,middle_zone_mean_error,edge_mean_error,center_to_edge_difference_error,map_standard_deviation_error,map_range_error,worst_point_absolute_error,p95_point_absolute_error
2024-07-05_05,2,mean_shift,0.07736132884300904,0.11512912387597479,0.06383614576930564,0.07481453584920464,0.09581055086873004,0.9998623407160712,0.033038120372374635,0.0017140615608184362,0.11589911116389828,0.14893723153627292,0.075559090868349,0.19798461538463386,0.375090654556395,0.26404526994101185
2024-07-05_05,2,oracle_true_mean_pca_reconstruction,0.01868182186004818,0.027997750190077247,1.037871411784416e-15,0.018681821860049058,0.027997750190077247,0.9999691956219686,0.01669980689594297,0.004071947867508641,0.005082938506802748,0.021782745402745718,0.0047537505562917914,0.0008596801764966244,0.12259709489337212,0.058836238969240624
2024-07-05_05,2,oracle_true_mean_zero_residual,0.07481453584920265,0.09581055086873005,4.7901757466973045e-15,0.07481453584920265,0.09581055086873005,0.9998623407160712,0.09687426614167549,0.06555020733011929,0.052062965394583216,0.1489372315362587,0.07555909086834856,0.19798461538463386,0.31125450878709415,0.20020912417171102
2024-07-05_05,2,template,0.07485298184961113,0.11141938338220372,0.05687369634111174,0.07481453584920464,0.09581055086873004,0.9998623407160712,0.04000056980056854,0.008676510989026553,0.10893666173571859,0.14893723153628713,0.075559090868349,0.19798461538463386,0.3681282051282011,0.25708282051281794
2024-07-05_06,2,full_map,0.08906624594525912,0.10334192295231001,0.03849959776048762,0.07295169767548243,0.09590273203492086,0.9997985185816085,0.11802184574909802,0.08912610136036392,0.0025242932528470874,0.12054613900194511,0.06462280553603383,0.13630153232830367,0.33153953915681456,0.16527275139777656
2024-07-05_06,2,mean_shift,0.11210234742617219,0.1288854908704929,0.03849959776048123,0.09672050958342122,0.12300101922020425,0.9997240347323973,0.1488698688959218,0.11331525452882119,0.020888302811286508,0.1697581717072083,0.09056319494390452,0.20648461538464602,0.39511446158840613,0.230745487229437
2024-07-05_06,2,oracle_true_mean_pca_reconstruction,0.018579071957480545,0.0312742476150034,2.5547603982385624e-15,0.018579071957480545,0.0312742476150034,0.9999602335256266,0.004627583618557196,0.006508688702922427,0.0027037505983784627,0.0019238330201787335,0.0023826878107859883,0.05353091739788596,0.18805449882909642,0.05636680319048821
2024-07-05_06,2,oracle_true_mean_zero_residual,0.09672050958341939,0.12300101922020425,3.2732867602431583e-15,0.09672050958342122,0.12300101922020425,0.9997240347323973,0.11037027113543729,0.07481565676833668,0.05938790057177812,0.1697581717072154,0.09056319494390452,0.20648461538464602,0.43361405934889063,0.2692450849899215
2024-07-05_06,2,template,0.1843141457793142,0.22158735312189487,0.1843141457793142,0.09672050958342122,0.12300101922020425,0.9997240347323973,0.07394387464387364,0.10949848901097425,0.24370204635109616,0.16975817170722252,0.09056319494390452,0.20648461538464602,0.6179282051282016,0.45355923076923244
2024-07-05_07,2,full_map,0.13805263442109134,0.1760617105329605,0.1349788139837219,0.08059862099129445,0.11304178736794533,0.9997556086624195,0.1005152554566422,0.06420766810697387,0.17905120073935876,0.07853594528271657,0.08164862012462404,0.17255107350340637,0.5587696198974683,0.3498899774686335
2024-07-05_07,2,mean_shift,0.13755184661242592,0.18245650791285808,0.13497881398372796,0.0899454886232329,0.12276439652969837,0.9997425953138261,0.08727046544504447,0.05382190520897723,0.18693590210951783,0.09966543666447336,0.09280956213660563,0.20268461538464067,0.586065907040485,0.37873411216870206
2024-07-05_07,2,oracle_true_mean_pca_reconstruction,0.0425038448567653,0.0616901551666727,3.9918131222477537e-16,0.0425038448567653,0.0616901551666727,0.9998485538731283,0.043775387107132246,0.010478371712039802,0.0019343091543717605,0.04570969626150401,0.009713104376005699,0.02474861435272402,0.2358116114684634,0.1388134841231291
2024-07-05_07,2,oracle_true_mean_zero_residual,0.08994548862323075,0.12276439652969837,6.386900995596406e-15,0.0899454886232329,0.12276439652969837,0.9997425953138261,0.04770834853868422,0.08115690877474435,0.05195708812578914,0.09966543666447336,0.09280956213660563,0.20268461538464067,0.4510870930567634,0.24375529818498048
2024-07-05_07,2,template,0.3005411120714491,0.32464758908768193,0.3005411120714491,0.0899454886232329,0.12276439652969837,0.9997425953138261,0.2528327635327656,0.21938420329669128,0.3524982001972532,0.09966543666448757,0.09280956213660563,0.20268461538464067,0.7516282051282062,0.5442964102564232
2024-07-05_08,2,full_map,0.05980098388817152,0.08929707074647146,0.029784503242625104,0.050523527124009954,0.08418343192392659,0.9997895320834383,0.08302620373421377,0.064266574597589,0.002002324351032314,0.08102387938318145,0.04416530344364089,0.14038146915137162,0.6210465089520625,0.10496998091168867
2024-07-05_08,2,mean_shift,0.12184130758528974,0.14042512473600677,0.029784503242619196,0.11202495994095768,0.13723009518219198,0.9997959152971586,0.170539293728865,0.1328890444411286,0.05009473267919162,0.22063402640805663,0.11725207603111709,0.3394846153846345,0.30248178889220867,0.25650050684094466
