test_lot,mode,feedback,policy,budget,total_system_mae,unmeasured_wafer_mae,measured_fraction,high_error_capture,p95_system_error,cumulative_system_error,updates,update_runtime_seconds,drift_error_threshold,drift_onset_wafer_order,recovery_wafer_count,random_replicates
4,ranking_only,F0,disagreement,0.1,0.22335334567855608,0.24817038408728453,0.1,0.0,0.3823129588374182,2.233533456785561,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,disagreement,0.2,0.19423744680408705,0.24279680850510882,0.2,0.0,0.3823129588374182,1.9423744680408705,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,disagreement,0.3,0.17234321452580992,0.24620459217972845,0.3,0.0,0.3823129588374182,1.7234321452580992,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,disagreement,0.5,0.1146262895491635,0.229252579098327,0.5,0.5,0.3221994643246534,1.146262895491635,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,no_metrology,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,no_metrology,0.1,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,no_metrology,0.2,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,no_metrology,0.3,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,no_metrology,0.5,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,ood,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,ood,0.1,0.22599019366483725,0.2511002151831525,0.1,0.0,0.3823129588374182,2.2599019366483724,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,ood,0.2,0.20125950089759184,0.25157437612198974,0.2,0.0,0.3823129588374182,2.0125950089759184,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,ood,0.3,0.1789949750380796,0.2557071071972566,0.3,0.0,0.3823129588374182,1.789949750380796,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,ood,0.5,0.12036942818686251,0.24073885637372502,0.5,0.5,0.3260097400793488,1.2036942818686251,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,oracle,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,oracle,0.1,0.20757909975301714,0.23064344417001903,0.1,0.5,0.3260097400793488,2.0757909975301714,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,oracle,0.2,0.17212670063588292,0.21515837579485367,0.2,1.0,0.27142556126218426,1.7212670063588291,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,oracle,0.3,0.14301080176141387,0.2043011453734484,0.3,1.0,0.23620917658765497,1.4301080176141387,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,oracle,0.5,0.09601558313465622,0.19203116626931244,0.5,1.0,0.2200401915475506,0.9601558313465621,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,periodic,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,periodic,0.1,0.22599019366483725,0.2511002151831525,0.1,0.0,0.3823129588374182,2.2599019366483724,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,periodic,0.2,0.20372566780532503,0.2546570847566563,0.2,0.0,0.3823129588374182,2.03725667805325,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,periodic,0.3,0.174609768930856,0.24944252704408004,0.3,0.0,0.3823129588374182,1.74609768930856,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,periodic,0.5,0.12888682311975647,0.25777364623951293,0.5,0.0,0.3823129588374182,1.2888682311975648,0.0,0.0,0.186147802036805,1.0,3.0,1
